Site,Lat,Lon
CLS5_1 ,38.0024,-119.2912
CLS4_3,38.000967,-119.29295
CLS4_2,38.0009,-119.294883
CLS4_1,37.996917,-119.295067
CLS3_3,37.995717,-119.301467
CLS3_2,37.995467,-119.301733
CLS3_1,37.995267,-119.302067
CLS2_3,37.990567,-119.3025
CLS2_1,37.989383,-119.305033
CLS1_3,37.987967,-119.30665
CLS1_1,37.986017,-119.3075
ELS8_3,37.171267,-118.703533
ELS8_2,37.171313,-118.702601
ELS8_1,37.171274,-118.701243
ELS7_3,37.161367,-118.69175
ELS7_2,37.157704,-118.693197
ELS7_1,37.152617,-118.6947
ELS6_3,37.145667,-118.693435
ELS6_2,37.142347,-118.696418
ELS6_1,37.136733,-118.698233
ELS5_3,37.134312,-118.697249
ELS5_2,37.133997,-118.696881
ELS5_1,37.133967,-118.696567
ELS4_3,37.132267,-118.697833
ELS4_2,37.130767,-118.698417
ELS4_1,37.128585,-118.698203
ELS3_3,37.117217,-118.6857
ELS3_2,37.118433,-118.684067
ELS3_1,37.119217,-118.683517
ELS2_3,37.117283,-118.680583
ELS2_2,37.116733,-118.680233
ELS2_1,37.11525,-118.67985
Outlet.10487.trt.2003,36.722167,-118.347433
Outlet.11007.fishless.2003,36.7192,-118.35215
Outlet.10477.trt.2003,36.732133,-118.386467
Outlet.Vidette.below.2003,36.739883,-118.40945
Outlet.10487.trt.2004,36.722167,-118.347433
Outlet.11007.fishless.2004,36.7192,-118.35215
Outlet.10477.trt.2004,36.732133,-118.386467
Outlet.Vidette.below.2004,36.739883,-118.40945
Outlet.10487.trt.2011,36.722167,-118.347433
Outlet.11007.fishless.2011,36.7192,-118.35215
Outlet.10477.trt.2011,36.732133,-118.386467
Outlet.Vidette.below.2011,36.739883,-118.40945
Outlet.10494.trt.2012,36.732133,-118.386467
Outlet.Vidette.below.2012,36.739883,-118.40945
RLS6_2,36.839065,-118.406173
RLS6_1,36.834674,-118.40717
RLS5_3,36.83243,-118.408541
RLS5_2,36.831862,-118.409309
RLS5_1,36.830272,-118.409792
RLS4_3,36.824603,-118.411817
RLS4_2,36.81827,-118.410486
RLS4_1,36.816138,-118.40674
RLS3_2,36.811489,-118.404743
RLS3_1,36.811401,-118.404575
RLS2_1,36.803556,-118.402083
RLS1_3,36.80375,-118.39575
YLS4_3_3,37.94055,-119.345933
YLS4_1_3,37.937883,-119.345067
YLS3_3_3,37.937083,-119.344767
YLS3_1_3,37.9374,-119.34075
YLS2_3_3,37.9379,-119.33845
YLS2_2_3,37.93815,-119.33785
YLS2_1_3,37.937333,-119.335383
